token	corpus size	all contexts size	frequency	co-frequency	specificity
ментальная	1221	158	7	7	6.27
партнеру	1221	158	2	2	1.78
более	1221	158	3	2	1.36
вы	1221	158	3	2	1.36
это	1221	158	30	6	1.00
просто	1221	158	5	2	0.96
напряжение	1221	158	1	1	0.89
отупляющая	1221	158	1	1	0.89
рутина	1221	158	1	1	0.89
часто	1221	158	1	1	0.89
