token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	1288	211	17	12	6.12
la	1288	211	43	19	5.06
rentrée	1288	211	14	9	4.21
comment	1288	211	5	5	3.95
zen	1288	211	3	3	2.36
rester	1288	211	4	3	1.84
pic	1288	211	2	2	1.57
applications	1288	211	2	2	1.57
gérer	1288	211	10	4	1.29
souvent	1288	211	3	2	1.17
