token	corpus size	all contexts size	frequency	co-frequency	specificity
туркестан	650	40	1	1	1.21
уральск	650	40	1	1	1.21
усть	650	40	1	1	1.21
каменогорск	650	40	1	1	1.21
шымкент	650	40	1	1	1.21
города	650	40	1	1	1.21
главная	650	40	1	1	1.21
большая	650	40	1	1	1.21
назвала	650	40	1	1	1.21
предметы	650	40	1	1	1.21
