token	corpus size	all contexts size	frequency	co-frequency	specificity
психической	2700	815	14	14	7.32
психическая	2700	815	12	12	6.27
учебной	2700	815	22	15	3.69
и	2700	815	100	42	2.49
психических	2700	815	8	6	1.99
исследования	2700	815	3	3	1.56
состояние	2700	815	3	3	1.56
учителей	2700	815	3	3	1.56
величина	2700	815	3	3	1.56
чрезмерной	2700	815	3	3	1.56
