token	corpus size	all contexts size	frequency	co-frequency	specificity
ментальная	3053	340	14	14	13.45
ментальной	3053	340	7	6	4.94
справиться	3053	340	7	5	3.56
как	3053	340	31	10	2.99
этим	3053	340	3	3	2.86
так	3053	340	6	4	2.75
устаем	3053	340	4	3	2.31
суть	3053	340	2	2	1.91
явления	3053	340	2	2	1.91
рост	3053	340	2	2	1.91
