token	corpus size	all contexts size	frequency	co-frequency	specificity
эмоциональная	2165	111	2	2	2.58
причём	2165	111	2	2	2.58
кого	2165	111	4	2	1.85
в	2165	111	59	7	1.71
то	2165	111	23	4	1.66
для	2165	111	15	3	1.49
помнит	2165	111	1	1	1.29
зайти	2165	111	1	1	1.29
добавим	2165	111	1	1	1.29
этому	2165	111	1	1	1.29
