token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	1728	363	15	15	10.27
cette	1728	363	9	7	3.41
la	1728	363	51	21	3.32
bien	1728	363	8	6	2.83
être	1728	363	10	6	2.16
peine	1728	363	3	3	2.04
subissent	1728	363	3	3	2.04
sein	1728	363	3	3	2.04
conséquences	1728	363	3	3	2.04
pèse	1728	363	3	3	2.04
