token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	1581	439	21	21	11.84
s	1581	439	8	8	4.47
alléger	1581	439	4	4	2.23
pour	1581	439	21	11	2.00
ma	1581	439	3	3	1.67
autres	1581	439	3	3	1.67
tout	1581	439	3	3	1.67
faire	1581	439	5	4	1.67
la	1581	439	55	21	1.58
femmes	1581	439	8	5	1.46
