token	corpus size	all contexts size	frequency	co-frequency	specificity
ответ	611	43	2	2	2.31
вопрос	611	43	3	2	1.87
психолога	611	43	6	2	1.26
с	611	43	6	2	1.26
мире	611	43	1	1	1.15
обзор	611	43	1	1	1.15
сми	611	43	1	1	1.15
информация	611	43	1	1	1.15
главная	611	43	1	1	1.15
психологическая	611	43	1	1	1.15
