token	corpus size	all contexts size	frequency	co-frequency	specificity
выключателей	697	256	3	3	1.31
можно	697	256	3	3	1.31
пр	697	256	3	3	1.31
выключатели	697	256	9	6	1.29
и	697	256	16	8	0.96
вн	697	256	4	3	0.90
тока	697	256	4	3	0.90
или	697	256	4	3	0.90
автогазовые	697	256	2	2	0.87
установки	697	256	2	2	0.87
