token	corpus size	all contexts size	frequency	co-frequency	specificity
публикации	1590	80	2	2	2.60
эмоциональная	1590	80	2	2	2.60
тоже	1590	80	2	2	2.60
большая	1590	80	3	2	2.15
больными	1590	80	3	2	2.15
врачей	1590	80	3	2	2.15
работе	1590	80	4	2	1.87
екатерина	1590	80	4	2	1.87
очень	1590	80	6	2	1.51
и	1590	80	27	4	1.47
