token	corpus size	all contexts size	frequency	co-frequency	specificity
prendre	9537	319	10	7	8.32
prise	9537	319	7	5	6.10
en	9537	319	157	18	5.44
capacité	9537	319	18	6	4.78
rendre	9537	319	19	6	4.63
compte	9537	319	23	6	4.12
composantes	9537	319	9	4	3.88
principales	9537	319	2	2	2.95
grands	9537	319	2	2	2.95
différencie	9537	319	3	2	2.49
