token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	1506	282	19	17	10.48
la	1506	282	37	16	3.49
est	1506	282	20	8	1.81
non	1506	282	4	3	1.67
complexe	1506	282	2	2	1.46
atelier	1506	282	2	2	1.46
comprendre	1506	282	2	2	1.46
parentale	1506	282	2	2	1.46
sont	1506	282	8	4	1.43
fallait	1506	282	3	2	1.07
