token	corpus size	all contexts size	frequency	co-frequency	specificity
travail	9503	1356	232	83	16.17
de	9503	1356	649	144	8.29
la	9503	1356	223	62	7.34
réelle	9503	1356	6	5	3.52
charge	9503	1356	78	21	2.85
importante	9503	1356	5	4	2.75
physique	9503	1356	8	5	2.68
facettes	9503	1356	3	3	2.54
quelques	9503	1356	3	3	2.54
notions	9503	1356	3	3	2.54
