token	corpus size	all contexts size	frequency	co-frequency	specificity
выдерживать	1832	70	2	2	2.84
высокие	1832	70	2	2	2.84
работе	1832	70	2	2	2.84
сойти	1832	70	2	2	2.84
ума	1832	70	2	2	2.84
новости	1832	70	6	2	1.73
на	1832	70	36	4	1.45
подписаться	1832	70	1	1	1.42
главная	1832	70	1	1	1.42
хорошие	1832	70	1	1	1.42
