token	corpus size	all contexts size	frequency	co-frequency	specificity
когнитивной	3095	878	17	16	7.71
когнитивная	3095	878	10	8	3.02
когнитивную	3095	878	5	5	2.74
теорию	3095	878	4	4	2.19
уместной	3095	878	4	4	2.19
нагрузка	3095	878	13	8	2.00
она	3095	878	9	6	1.80
которые	3095	878	12	7	1.66
внешняя	3095	878	3	3	1.64
теория	3095	878	5	4	1.64
