token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	1873	80	10	5	4.59
épuisement	1873	80	5	3	3.16
créant	1873	80	2	2	2.74
technostress	1873	80	3	2	2.29
fait	1873	80	4	2	2.00
s	1873	80	7	2	1.51
désamorcez	1873	80	1	1	1.37
publié	1873	80	1	1	1.37
incessantes	1873	80	1	1	1.37
urgence	1873	80	1	1	1.37
