token	corpus size	all contexts size	frequency	co-frequency	specificity
travail	1106	483	36	29	5.39
la	1106	483	37	29	4.97
de	1106	483	65	41	3.26
compte	1106	483	5	5	1.80
dimensions	1106	483	4	4	1.44
sur	1106	483	15	10	1.37
à	1106	483	22	13	1.23
réguler	1106	483	3	3	1.08
charge	1106	483	33	17	1.04
est	1106	483	15	9	1.04
