token	corpus size	all contexts size	frequency	co-frequency	specificity
travail	3876	366	34	24	17.19
de	3876	366	227	39	4.19
la	3876	366	107	22	3.70
légale	3876	366	3	3	3.08
pourrait	3876	366	3	3	3.08
définition	3876	366	4	3	2.52
concept	3876	366	5	3	2.16
une	3876	366	41	9	2.07
mentale	3876	366	2	2	2.05
objet	3876	366	2	2	2.05
