token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	776	152	6	6	4.28
fameuse	776	152	4	4	2.85
charge	776	152	10	6	2.33
cognitive	776	152	3	3	2.13
article	776	152	2	2	1.42
publié	776	152	2	2	1.42
la	776	152	23	8	1.41
gestion	776	152	14	5	1.09
par	776	152	3	2	1.03
emmanuelle	776	152	3	2	1.03
