token	corpus size	all contexts size	frequency	co-frequency	specificity
виды	757	70	6	4	3.07
нагрузок	757	70	4	3	2.56
нагрузки	757	70	3	2	1.64
тип	757	70	4	2	1.38
квт	757	70	6	2	1.06
силового	757	70	1	1	1.03
электростанцию	757	70	1	1	1.03
срок	757	70	1	1	1.03
службы	757	70	1	1	1.03
оценка	757	70	1	1	1.03
