token	corpus size	all contexts size	frequency	co-frequency	specificity
émotionnelle	2043	496	19	19	11.80
mentale	2043	496	5	5	3.08
sur	2043	496	19	10	2.28
emma	2043	496	11	7	2.28
ménagère	2043	496	3	3	1.85
association	2043	496	3	3	1.85
la	2043	496	60	21	1.73
un	2043	496	23	10	1.67
article	2043	496	4	3	1.36
qu	2043	496	4	3	1.36
