token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	917	238	12	12	7.12
d	917	238	14	8	2.01
flux	917	238	3	3	1.76
invisible	917	238	3	3	1.76
la	917	238	27	11	1.43
une	917	238	16	7	1.22
femmes	917	238	10	5	1.18
commentaires	917	238	2	2	1.17
oembed	917	238	2	2	1.17
agir	917	238	2	2	1.17
