token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	2800	386	13	12	9.34
la	2800	386	81	27	5.51
cognitive	2800	386	25	10	3.08
scientifique	2800	386	3	3	2.58
charge	2800	386	22	8	2.29
du	2800	386	15	6	2.05
auteur	2800	386	2	2	1.72
e	2800	386	2	2	1.72
définition	2800	386	2	2	1.72
définit	2800	386	2	2	1.72
