token	corpus size	all contexts size	frequency	co-frequency	specificity
когнитивная	2678	679	14	13	6.76
когнитивной	2678	679	11	9	3.89
теория	2678	679	4	4	2.39
внутреннюю	2678	679	4	4	2.39
нагрузка	2678	679	24	12	2.26
её	2678	679	12	7	1.91
полезная	2678	679	5	4	1.81
откуда	2678	679	3	3	1.79
человека	2678	679	3	3	1.79
возникает	2678	679	3	3	1.79
