token	corpus size	all contexts size	frequency	co-frequency	specificity
физических	1163	390	4	4	1.90
организм	1163	390	4	4	1.90
какие	1163	390	3	3	1.43
виды	1163	390	3	3	1.43
вид	1163	390	3	3	1.43
они	1163	390	3	3	1.43
типы	1163	390	3	3	1.43
даже	1163	390	3	3	1.43
дыхание	1163	390	3	3	1.43
физическая	1163	390	4	3	1.00
