token	corpus size	all contexts size	frequency	co-frequency	specificity
колоссальная	776	51	3	3	3.57
психологическая	776	51	3	3	3.57
была	776	51	5	3	2.63
это	776	51	6	3	2.35
нагрузка	776	51	3	2	1.92
заболел	776	51	1	1	1.18
году	776	51	1	1	1.18
около	776	51	1	1	1.18
понимали	776	51	1	1	1.18
испугались	776	51	1	1	1.18
