token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	1766	349	21	19	11.41
la	1766	349	36	15	2.87
flux	1766	349	3	3	2.12
bd	1766	349	3	3	2.12
importante	1766	349	3	3	2.12
on	1766	349	8	5	2.07
penser	1766	349	4	3	1.61
commentaires	1766	349	2	2	1.41
parlait	1766	349	2	2	1.41
ecouter	1766	349	2	2	1.41
