token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	5276	715	42	37	26.84
la	5276	715	161	54	10.58
dépression	5276	715	24	17	9.72
prise	5276	715	12	9	5.68
sont	5276	715	11	8	4.93
est	5276	715	14	9	4.84
femmes	5276	715	5	5	4.35
remboursements	5276	715	5	5	4.35
une	5276	715	55	18	3.84
demandes	5276	715	4	4	3.48
