token	corpus size	all contexts size	frequency	co-frequency	specificity
мышечной	1064	508	7	7	2.26
мышечная	1064	508	7	7	2.26
на	1064	508	17	13	1.94
тренировочная	1064	508	6	6	1.93
функция	1064	508	6	6	1.93
тренировочной	1064	508	6	6	1.93
тренировку	1064	508	5	5	1.61
или	1064	508	5	5	1.61
измеряет	1064	508	4	4	1.29
нагрузка	1064	508	15	10	1.15
