token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	3068	360	16	16	15.02
cette	3068	360	8	5	3.08
des	3068	360	31	10	2.82
parle	3068	360	4	3	2.25
c	3068	360	8	4	2.10
origine	3068	360	2	2	1.86
régulières	3068	360	2	2	1.86
contrôler	3068	360	2	2	1.86
déjà	3068	360	2	2	1.86
sont	3068	360	10	4	1.73
