token	corpus size	all contexts size	frequency	co-frequency	specificity
дает	1215	60	1	1	1.31
показывают	1215	60	1	1	1.31
регулярные	1215	60	1	1	1.31
таск	1215	60	1	1	1.31
снимают	1215	60	1	1	1.31
лишнюю	1215	60	1	1	1.31
префронтальной	1215	60	1	1	1.31
коры	1215	60	1	1	1.31
перестаёт	1215	60	1	1	1.31
кипеть	1215	60	1	1	1.31
