token	corpus size	all contexts size	frequency	co-frequency	specificity
travail	13716	396	290	27	7.20
va	13716	396	3	3	4.62
preuve	13716	396	4	3	4.03
exigence	13716	396	2	2	3.08
de	13716	396	831	39	3.07
la	13716	396	430	21	2.19
facteur	13716	396	5	2	2.12
heures	13716	396	5	2	2.12
agir	13716	396	7	2	1.82
psychologique	13716	396	7	2	1.82
