token	corpus size	all contexts size	frequency	co-frequency	specificity
objets	3186	90	10	5	5.45
symbolique	3186	90	4	3	4.07
portent	3186	90	2	2	3.10
des	3186	90	33	5	2.75
enfance	3186	90	10	3	2.67
les	3186	90	21	4	2.65
écriture	3186	90	4	2	2.35
récits	3186	90	4	2	2.35
dans	3186	90	28	4	2.20
ils	3186	90	7	2	1.84
