token	corpus size	all contexts size	frequency	co-frequency	specificity
mentale	4817	1446	68	68	36.03
la	4817	1446	145	91	16.01
domaines	4817	1446	6	6	3.14
niveau	4817	1446	20	13	3.00
sa	4817	1446	8	7	2.91
répartie	4817	1446	5	5	2.62
parler	4817	1446	7	6	2.45
quoi	4817	1446	11	8	2.43
septembre	4817	1446	4	4	2.09
parle	4817	1446	10	7	2.05
